pc_id,Constituency,State,Name,Party,QueerStatement,queer_text,Quote,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10,Link 11,Link 12,Trans Rights,LGBTQIA+ Rights,377 Against,377 For,TA FOR,TA AMEND,Homophobe,pc_category,Link
3309,Krishnagiri,Tamil Nadu,A Chellakumar,Indian National Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
3317,Erode,Tamil Nadu,A Ganeshamurthi,DMK (MDMK),0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2918,Chitradurga,Karnataka,A Narayanswamy,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
3319,Nilgiris,Tamil Nadu,A Raja,Dravida Munnetra Kazhagam,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
1806,Barpeta,Assam,Abdul Khaleque,Indian National Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
1921,Diamond Harbour,West Bengal,Abhishek Banerjee,All India Trinamool Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
1908,Maldaha Dakshin,West Bengal,Abu Hasem Khan Choudhury,Indian National Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
1911,Murshidabad,West Bengal,Abu Taher Khan,All India Trinamool Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2113,Kandhamal,Orissa,Achyutananda Samanta,Biju Janata Dal,1,Vocal on LGBTQIA+ Issues,"In a landmark judgment, the five-judge bench of the Supreme Court unanimously, partially struck down the British-era law which criminalised consensual homosexual sex in India.",https://www.youtube.com/watch?v=7CYKvLW5rN8,https://odishanewsinsight.com/odisha/a-film-on-dutee-chands-life/,https://achyutasamanta.com/34/,https://www.indiatoday.in/pti-feed/story/kiss-appoints-a-transgender-as-social-development-officer-941980-2017-06-11,https://twitter.com/achyuta_samanta/status/1252195876367294464?s=20,https://twitter.com/achyuta_samanta/status/1037621529490538496,https://twitter.com/achyuta_samanta/status/919485607394476032,https://twitter.com/achyuta_samanta/status/1050698515192696833,https://www.livemint.com/news/india/this-is-how-i-choose-to-live-this-is-who-i-am-deal-with-it-dutee-chand-11577817040071.html,http://loksabhaph.nic.in/Debates/Result17.aspx?dbsl=816,,,✓,✓,✓,,,✓,,GEN,https://pinklistindia.com/map/kandhamal
2839,Nellore,Andhra Pradesh,Adala Prabhakara Reddy,YSR Congress Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
1910,Baharampur,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1,Vocal on LGBTQIA+ Issues,"Asked a question in the Parliament regarding the transgender community's status in context of Right to Education, and other constitutional rights.",http://loksabhaph.nic.in/Questions/QResult15.aspx?qref=127992&lsno=15,http://loksabhaph.nic.in/Questions/QResult15.aspx?qref=31984&lsno=17,,,,,,,,,,,✓,,,,,,,GEN,https://pinklistindia.com/map/baharampur
3219,Attingal,Kerala,Adoor Prakash,Indian National Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
975,Ghazipur,Uttar Pradesh,Afzal Ansari,Bahujan Samaj Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
1702,Tura,Meghalaya,Agatha Sangma,National People's Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,ST,https://www.pinklistindia.com/pinksabha/silentmp
504,Nainital-Udhamsingh Nagar,Uttarakhand,Ajay Bhatt,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
1026,Bhagalpur,Bihar,Ajay Kumar Mandal,Janata Dal (United),0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
928,Kheri,Uttar Pradesh,Ajay Kumar Mishra,Bharatiya Janata Party,1,Vocal on LGBTQIA+ Issues,"This resolution of ours, the concept of a ""New India"" by 2022, through which we will ensure that every individual has access to a proper house, toilet, gas and electricity connections, and employment opportunities- I want the government to show the same determination towards providing transgenders with proper accommodations and other amenities, especially those who don't have a home.",http://loksabhaph.nic.in/Debates/Result16.aspx?dbsl=6872,https://youtu.be/ZNwG0r1TTk4,http://loksabhaph.nic.in/Debates/Result17.aspx?dbsl=816,,,,,,,,,,✓,,,,,,,GEN,https://pinklistindia.com/map/kheri
1015,Muzaffarpur,Bihar,Ajay Nishad,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
503,Almora,Uttarakhand,Ajay Tamta,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
3316,Namakkal,Tamil Nadu,AKP Chinraj,DMK (KMDK),0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
956,Bahraich,Uttar Pradesh,Akshaibar Lal,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
1017,Gopalganj,Bihar,Alok Kumar Suman,Janata Dal (United),0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
3215,Alappuzha,Kerala,AM Ariff,CPI(M),1,Vocal on LGBTQIA+ Issues,"""All other Members who spoke earlier pointed it out that the Bill excludes same sex couples and the live-in couples from accessing ARTs. The Bill missed an opportunity to recommend that reproductive rights, which are internationally and constitutionally recognized as universal, be extended to live-in couples and same sex couples.""",http://loksabhadocs.nic.in/debatestextmk/17/VII/01.12.2021.pdf,,,,,,,,,,,,,,,,,,,GEN,https://pinklistindia.com/map/alappuzha
308,Fatehgarh Sahib,Punjab,Amar Singh,Indian National Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
2406,Gandhinagar,Gujarat,Amit Shah,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2736,Shirur,Maharashtra,Amol Kolhe,Nationalist Congress Party,1,Vocal on LGBTQIA+ Issues,The Government of Maharashtra is planning to set up a Transgender Board and a helpline for the LGBTQIA community. Similar approach should be adopted by the Centre to help this community.,http://loksabhadocs.nic.in/Synop/17/III/2Supp+Supp+Syn-13-03-2020.pdf,http://loksabhaph.nic.in/Debates/Result17.aspx?dbsl=3907,,,,,,,,,,,,✓,,,,,,GEN,https://pinklistindia.com/map/shirur
2912,Uttara Kannada,Karnataka,Anant Kumar Hegde,Bharatiya Janata Party,1,Vocal on LGBTQIA+ Issues,Gays and lesbians are humans just like any other individuals. It is just a sexual orientation of a few individuals and it is not possible to eliminate or remove it. We should let them live peacefully.,https://www.deccanherald.com/amp/state/homosexuality-not-curse-692759.html?__twitter_impression=true,,,,,,,,,,,,,✓,,,,,,GEN,https://pinklistindia.com/map/uttara-kannada
2322,Ujjain,Madhya Pradesh,Anil Firojiya,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
3311,Tiruvannamalai,Tamil Nadu,Annadurai CN,Dravida Munnetra Kazhagam,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2005,Kodarma,Jharkhand,Annapurna Devi Yadav,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2901,Chikodi,Karnataka,Annasaheb Jolle,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
3217,Pathanamthitta,Kerala,Anto Antony,Indian National Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2115,Kendrapara,Orissa,Anubhav Mohanty,Biju Janata Dal,1,Vocal on LGBTQIA+ Issues,"Society today is moving towards decriminalizing certain things and improving inter-personal relationships. Section 377 has been decriminalized. So, let us think beyond party lines and political agendas.",http://164.100.47.194/Loksabha/Debates/Result17.aspx?dbsl=822,https://timesofindia.indiatimes.com/city/bhubaneswar/Transgenders-set-the-ramp-on-fire/articleshow/10892724.cms,http://loksabhadocs.nic.in/Synop/17/I/Supp+Syn-25-07-2019.pdf,,,,,,,,,,✓,✓,✓,,,,,GEN,https://pinklistindia.com/map/kendrapara
979,Mirzapur,Uttar Pradesh,Anupriya Patel,Apna Dal (Sonelal),1,Vocal on LGBTQIA+ Issues,"Defended the exclusion of single and gay people from having surrogate babies by saying, ""A child needs a normal family, a mother and father. Live-in parents may separate.""",https://www.ndtv.com/india-news/women-selling-bodies-to-earn-livelihood-minister-on-surrogacy-bill-1453387,http://loksabhaph.nic.in/Debates/Result17.aspx?dbsl=5937,,,,,,,,,,,,,,✓,,,✓,GEN,https://pinklistindia.com/map/mirzapur
